Infected,MuseumNumber,Province,Locality,Family,Species,Diet,Sex,Age,TesticlePosition,Epididymis,MammaeCondition,Vagina
-,FMNH 217904,Toliara,SAR,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Female,Adult,-,-,Lactating,Perforated
-,UADBA 32331,Toliara,SAR,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32373,Toliara,SAR,Miniopteridae,Miniopterus gleni,Insectivorous,Female,Adult,-,-,Lactating,Perforated
-,FMNH 217905,Toliara,SAR,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Male,Adult,Abdominal,Convoluted,-,-
-,UADBA 32376,Toliara,MAKI,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Juvenile,-,-,Small,-
-,UADBA 32332,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32333,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32334,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32335,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Female,Juvenile,-,-,Small,-
-,UADBA 32336,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Female,Juvenile,-,-,Small,-
-,UADBA 32337,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Female,Adult,-,-,Lactating,Perforated
-,UADBA 32338,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 32339,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32340,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Partially descended,Convoluted,-,-
+,UADBA 32341,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,-,-,-,-
-,UADBA 32342,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 32343,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32344,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32345,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32347,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32348,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Female,Adult,-,-,Lactating,Perforated
-,FMNH 217942,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 217944,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 217945,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Female,Sub-adult,-,-,-,-
+,FMNH 217946,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 217947,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Female,Juvenile,-,-,Small,-
-,FMNH 217948,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 217949,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 217950,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Convoluted,-,-
-,FMNH 217951,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 217952,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,FMNH 217953,Toliara,MAKI,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 32384,Toliara,BEKO,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,UADBA 32385,Toliara,BEKO,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,Abdominal,Convoluted,-,-
+,FMNH 217954,Toliara,BEKO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 217955,Toliara,BEKO,Miniopteridae,Miniopterus gleni,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 217957,Toliara,BEKO,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 217958,Toliara,BEKO,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32374,Toliara,BEKO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,Abdominal,Convoluted,-,-
-,UADBA 32375,Toliara,BEKO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 217959,Toliara,BEKO,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 217961,Toliara,BEKO,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 217963,Toliara,BEKO,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 217964,Toliara,BEKO,Hipposideridae,Hipposideros commersoni,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 217965,Toliara,BEKO,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 217966,Toliara,BEKO,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32377,Toliara,BEKO,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Large ,Perforated
-,FMNH 217967,Toliara,BEKO,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Lactating,Perforated
-,FMNH 217968,Toliara,BEKO,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 217969,Toliara,BEKO,Rhinonycteridae,Paratriaenops furculus,Insectivorous,Female,Adult,-,-,Lactating,Perforated
+,UADBA 32380,Toliara,BEKO,Rhinonycteridae,Paratriaenops furculus,Insectivorous,Female,Adult,-,-,Lactating,Perforated
