Animal,Day0,Day3,Day6,Day7,Day8,Day10,Day14,Day17,Day21,Day28,Day35,Day42,Day49,Day56,Day70,Day84,Day91,Day98,Day105,Day112,Day119,Day126,Day140,Day168,Day196,Day224
A1.3731,1.801029996,,,5.671704486,,,7.120574972,,6.165299452,3.868988514,,2.557740774,,1.970054128,3.512836807,3.903400087,,2.894711559,,3.371103751,,3.249420584,2.842552135,4.022495295,4.020724381,3.795595617
1335,1.801029996,,,4.288828238,,5.749683473,6.371338387,,5.17249034,,4.622095549,4.038171502,,4.826898163,,,,,4.867990245,,,,,,,
19341,1.801029996,1.801029996,3.514223484,,4.880181006,5.670140512,7.090300354,6.580147133,6.510845982,,5.754421521,,6.106647692,,6.595687709,,,,6.423597364,,,,6.251848671,6.163358181,,
19351,1.801029996,1.801029996,4.220826744,,5.330064232,6.900314505,7.780273935,7.67029352,6.880212656,,7.180826744,,6.781279806,,6.811140811,,,,6.405161531,,,,6.257736039,,,
19530,1.801029996,,,5.490656834,,,7.420789568,,6.354034276,,6.694145777,,,6.443853507,,,6.442073705,,,,6.430826744,,,,,
2374,1.801029996,,,4.73676218,,,5.627570664,,5.644986915,,4.986362191,4.931574093,,5.635147556,,,,,5.448019119,,,,,,,
25377,1.801029996,1.801029996,3.901725525,,5.050122384,6.310314505,6.370217608,7.137172356,6.169706164,,6.471222287,,6.261340029,,6.041340029,,,,5.940405118,,,,6.211340029,7.270572135,,
26359,1.801029996,1.801029996,1.801029996,,2.792718291,4.570369487,6.570267701,6.780321828,6.859582542,,6.001089531,,6.031806678,,6.460845982,,,,,,,,,,,
3751,1.801029996,1.801029996,4.52041455,,5.880720152,6.530019399,7.310475934,6.380845982,6.022549816,,6.202065336,,5.868579999,,6.111848671,,,,6.221573972,,,,6.43227325,6.48519023,,
3754,1.801029996,,,5.930533971,,,7.290487013,,6.720687765,,6.420807942,,,5.836183611,,,5.585161531,,,,5.343249408,,,,,
440,1.801029996,1.801029996,3.238012571,,2.717172356,4.36059908,6.840307348,6.510198466,6.484034276,,5.943830902,,5.943515809,,6.230672122,,,,5.831167348,,,,6.160949095,6.39212189,,
45418,1.801029996,,,1.801029996,,,7.300641894,,6.825161531,,4.995475288,,,4.00319562,,,3.802171192,,,,4.270736912,,,,,
508,1.801029996,2.514207222,2.897737219,,3.692795027,5.560336989,6.07140308,6.120927514,5.733760198,,6.071392685,,5.784803404,,5.439852725,5.394957959,,,5.03012815,,,,4.990140512,,,
517,1.801029996,1.801029996,4.240789568,,5.560037824,6.92041455,7.320352864,7.24015056,5.874321374,,5.860344835,,6.220147133,,6.490267701,,,,6.250101797,,,,,,,
526,1.801029996,1.801029996,1.801029996,,2.61469918,4.041250716,7.570865668,7.130993773,6.827341424,,6.41519023,,5.992994238,,6.111765636,,,,5.541648011,,,,5.862669616,5.812859918,,
547,1.801029996,1.801029996,1.801029996,,3.071799704,4.440498351,7.410454524,7.210352864,6.735433314,,5.391891639,,3.67292631,,4.866205278,,,,3.841980586,,,,3.484523977,3.42519023,,
5873,1.801029996,1.801029996,2.745410722,,4.091114876,5.210084672,7.410233167,6.73036108,6.801891639,,5.385746206,,6.081309572,,6.161016894,,,,5.791503254,,,,5.820845982,5.991725525,,
8014,1.801029996,,,4.311212879,,,6.18968363,,5.804570688,3.437781344,,2.869818208,,1.801029996,2.547310361,4.105857284,,2.100055019,,3.87688856,,3.780434173,3.604401332,3.647960519,4.075658307,3.879352819
8020,1.801029996,,,4.660894411,,,6.771904623,,5.42411625,3.18393489,,2.400503313,,2.168312006,1.801029996,4.72522069,,3.73991124,,3.659372822,,3.792605376,2.920671771,3.914731101,3.881803173,4.134163442
8244,1.801029996,,,3.780434173,,,5.807556419,,4.616882474,2.890609375,,1.801029996,,1.801029996,1.801029996,3.522655822,,3.439016728,,3.242021477,,2.766769595,2.865979927,3.44518949,3.595989749,3.542849593
9021,1.801029996,,,4.693818621,,,6.208104141,,5.33999666,3.240954096,,2.606995209,,4.22168006,1.801029996,3.68409302,,4.839926745,,4.123017515,,3.903255603,3.83543109,3.660341726,3.550776065,3.260798901
9175,1.801029996,,,4.333461669,,,5.424540971,,5.507474465,3.327836306,,1.801029996,,2.293633825,2.240320786,3.36818059,,2.616550528,,3.3619975,,3.096480938,3.326960498,3.270890341,4.076442779,4.071024139
9183,1.801029996,,,4.247697528,,,5.908662787,,4.953774432,3.397228658,,1.801029996,,2.454705392,2.621822854,2.588089054,,1.801029996,,4.281591712,,3.188782266,3.462213104,3.914731101,4.197280558,4.377098006
933,1.801029996,1.801029996,3.013520922,,3.871848671,4.800217608,6.310845982,6.680395901,6.071435708,,5.385746206,,5.240079021,,4.680286841,,,,4.290703773,,,,4.280720152,4.570369487,,
