"Donor","Site"
"A2-01-001","Chicago"
"A2-01-002","Chicago"
"A2-01-005","Chicago"
"A2-01-006","Chicago"
"A2-01-007","Chicago"
"A2-01-008","Chicago"
"A2-01-011","Chicago"
"A2-01-012","Chicago"
"A2-01-013","Chicago"
"A2-01-014","Chicago"
"A2-01-015","Chicago"
"A2-01-016","Chicago"
"A2-01-017","Chicago"
"A2-01-021","Chicago"
"A2-01-022","Chicago"
"A2-01-023","Chicago"
"A2-01-024","Chicago"
"A2-02-001","Seattle"
"A2-02-002","Seattle"
"A2-02-003","Seattle"
"A2-02-004","Seattle"
"A2-02-005","Seattle"
"A2-02-006","Seattle"
"A2-02-007","Seattle"
"A2-02-008","Seattle"
"A2-02-009","Seattle"
"A2-02-010","Seattle"
"A2-02-011","Seattle"
"A2-02-012","Seattle"
"A2-02-014","Seattle"
"A2-02-015","Seattle"
"A2-02-016","Seattle"
"A2-02-017","Seattle"
"A2-02-018","Seattle"
"A2-02-019","Seattle"
"A2-02-020","Seattle"
"A2-02-021","Seattle"
"A2-03-001","Nairobi"
"A2-03-002","Nairobi"
"A2-03-003","Nairobi"
"A2-03-005","Nairobi"
"A2-03-006","Nairobi"
"A2-03-007","Nairobi"
"A2-03-008","Nairobi"
"A2-03-009","Nairobi"
"A2-03-010","Nairobi"
"A2-03-011","Nairobi"
"A2-03-012","Nairobi"
"A2-03-013","Nairobi"
"A2-03-014","Nairobi"
"A2-03-015","Nairobi"
"A2-03-016","Nairobi"
"A2-03-017","Nairobi"
"A2-03-018","Nairobi"
