"SampleDonor","TypeOfSample","CD4TCells","CD8TCells"
"A2-01-001","Biopsy",2357,1918
"A2-01-001","Cytobrush",1362,1229
"A2-01-002","Biopsy",921,2646
"A2-01-002","Cytobrush",545,750
"A2-01-005","Biopsy",87625,66827
"A2-01-005","Cytobrush",13494,6399
"A2-01-006","Biopsy",3686,2310
"A2-01-006","Cytobrush",7168,4014
"A2-01-007","Biopsy",11291,14203
"A2-01-007","Cytobrush",2605,1605
"A2-01-008","Biopsy",34739,39945
"A2-01-008","Cytobrush",484,500
"A2-01-011","Biopsy",3,3
"A2-01-011","Cytobrush",3922,1804
"A2-01-012","Biopsy",4299,5012
"A2-01-012","Cytobrush",4892,4014
"A2-01-013","Biopsy",0,5
"A2-01-013","Cytobrush",152,335
"A2-01-014","Biopsy",3342,3615
"A2-01-014","Cytobrush",161,125
"A2-01-015","Biopsy",42,605
"A2-01-015","Cytobrush",6,14
"A2-01-016","Biopsy",7283,4558
"A2-01-016","Cytobrush",2797,1801
"A2-01-017","Biopsy",26674,17445
"A2-01-017","Cytobrush",3116,1376
"A2-01-021","Biopsy",2422,1060
"A2-01-021","Cytobrush",3534,621
"A2-01-022","Biopsy",2120,1514
"A2-01-022","Cytobrush",1140,287
"A2-01-023","Biopsy",2085,1810
"A2-01-023","Cytobrush",2867,1121
"A2-01-024","Biopsy",520,838
"A2-01-024","Cytobrush",7363,3004
"A2-02-001","Biopsy",69419,46476
"A2-02-001","Cytobrush",31,14
"A2-02-002","Biopsy",13665,7186
"A2-02-002","Cytobrush",1048,815
"A2-02-003","Biopsy",38,42
"A2-02-003","Cytobrush",2620,1828
"A2-02-004","Biopsy",1936,1710
"A2-02-004","Cytobrush",710,310
"A2-02-005","Biopsy",7042,4409
"A2-02-005","Cytobrush",1240,896
"A2-02-006","Biopsy",2661,3328
"A2-02-006","Cytobrush",4219,1800
"A2-02-007","Biopsy",5277,2425
"A2-02-007","Cytobrush",23029,8044
"A2-02-008","Biopsy",2214,2209
"A2-02-008","Cytobrush",4843,3093
"A2-02-009","Biopsy",4273,3277
"A2-02-009","Cytobrush",6392,1860
"A2-02-010","Biopsy",7816,8707
"A2-02-010","Cytobrush",433,246
"A2-02-011","Biopsy",610,836
"A2-02-011","Cytobrush",421,584
"A2-02-012","Biopsy",2289,2555
"A2-02-012","Cytobrush",5903,1873
"A2-02-014","Biopsy",5985,4489
"A2-02-014","Cytobrush",54968,54328
"A2-02-015","Biopsy",14353,19938
"A2-02-015","Cytobrush",1832,2689
"A2-02-016","Biopsy",4409,3681
"A2-02-016","Cytobrush",2978,2314
"A2-02-017","Biopsy",94288,32609
"A2-02-017","Cytobrush",3369,1302
"A2-02-018","Biopsy",1524,2805
"A2-02-018","Cytobrush",170,239
"A2-02-019","Biopsy",2257,1461
"A2-02-019","Cytobrush",628,269
"A2-02-020","Biopsy",6034,13120
"A2-02-020","Cytobrush",838,752
"A2-02-021","Biopsy",305,268
"A2-02-021","Cytobrush",2195,296
"A2-03-001","Biopsy",281,1043
"A2-03-001","Cytobrush",1891,933
"A2-03-002","Biopsy",365,621
"A2-03-002","Cytobrush",2495,1408
"A2-03-003","Biopsy",11215,13798
"A2-03-003","Cytobrush",5741,5528
"A2-03-005","Biopsy",29030,16696
"A2-03-005","Cytobrush",17,4
"A2-03-006","Biopsy",945,1913
"A2-03-006","Cytobrush",130,101
"A2-03-007","Biopsy",4611,4753
"A2-03-007","Cytobrush",672,382
"A2-03-008","Biopsy",61404,63594
"A2-03-008","Cytobrush",94,0
"A2-03-009","Biopsy",3613,3718
"A2-03-009","Cytobrush",237,126
"A2-03-010","Biopsy",12,3
"A2-03-010","Cytobrush",6,2
"A2-03-011","Biopsy",5117,14926
"A2-03-011","Cytobrush",191,387
"A2-03-012","Biopsy",751,2389
"A2-03-012","Cytobrush",224,199
"A2-03-013","Biopsy",10909,19867
"A2-03-013","Cytobrush",522,84
"A2-03-014","Biopsy",567,2187
"A2-03-014","Cytobrush",4405,2161
"A2-03-015","Biopsy",63158,134926
"A2-03-015","Cytobrush",34041,14417
"A2-03-016","Biopsy",119429,97343
"A2-03-016","Cytobrush",7561,4115
"A2-03-017","Biopsy",8581,4207
"A2-03-017","Cytobrush",5250,2664
"A2-03-018","Biopsy",26029,43360
"A2-03-018","Cytobrush",5844,2975
