"Group","Cow","Date","Stim","IFNg"
"Non-vaccinated",1030,2012-10-01,"ESAT",0
"Non-vaccinated",1032,2012-10-01,"ESAT",0
"Non-vaccinated",1045,2012-10-01,"ESAT",55.2
"Non-vaccinated",1050,2012-10-01,"ESAT",3.6
"Non-vaccinated",6745,2012-10-01,"ESAT",0
"Non-vaccinated",6749,2012-10-01,"ESAT",15.6
"Non-vaccinated",6751,2012-10-01,"ESAT",0
"Non-vaccinated",6755,2012-10-01,"ESAT",0
"Non-vaccinated",6765,2012-10-01,"ESAT",0
"Non-vaccinated",6772,2012-10-01,"ESAT",46.8
"Non-vaccinated",6776,2012-10-01,"ESAT",6.6
"Non-vaccinated",6777,2012-10-01,"ESAT",0
"Non-vaccinated",6779,2012-10-01,"ESAT",7.1
"Non-vaccinated",6785,2012-10-01,"ESAT",0
"Non-vaccinated",6790,2012-10-01,"ESAT",0.7
"Non-vaccinated",6798,2012-10-01,"ESAT",21.2
"Non-vaccinated",6799,2012-10-01,"ESAT",15
"BCG once only",1029,2012-10-01,"ESAT",0
"BCG once only",1034,2012-10-01,"ESAT",28
"BCG once only",1035,2012-10-01,"ESAT",1.6
"BCG once only",1036,2012-10-01,"ESAT",0.4
"BCG once only",1039,2012-10-01,"ESAT",0
"BCG once only",1049,2012-10-01,"ESAT",0
"BCG once only",6743,2012-10-01,"ESAT",8.9
"BCG once only",6752,2012-10-01,"ESAT",0
"BCG once only",6758,2012-10-01,"ESAT",3.9
"BCG once only",6759,2012-10-01,"ESAT",3.3
"BCG once only",6767,2012-10-01,"ESAT",45.3
"BCG once only",6771,2012-10-01,"ESAT",317.8
"BCG once only",6778,2012-10-01,"ESAT",0
"BCG once only",6784,2012-10-01,"ESAT",5
"BCG once only",6788,2012-10-01,"ESAT",65
"BCG once only",6800,2012-10-01,"ESAT",20.9
"Re-vaccinated BCG",1026,2012-10-01,"ESAT",0
"Re-vaccinated BCG",1028,2012-10-01,"ESAT",0
"Re-vaccinated BCG",1041,2012-10-01,"ESAT",7.9
"Re-vaccinated BCG",1044,2012-10-01,"ESAT",0
"Re-vaccinated BCG",6746,2012-10-01,"ESAT",0
"Re-vaccinated BCG",6747,2012-10-01,"ESAT",12.1
"Re-vaccinated BCG",6750,2012-10-01,"ESAT",94.2
"Re-vaccinated BCG",6762,2012-10-01,"ESAT",0
"Re-vaccinated BCG",6766,2012-10-01,"ESAT",0
"Re-vaccinated BCG",6774,2012-10-01,"ESAT",0
"Re-vaccinated BCG",6780,2012-10-01,"ESAT",5
"Re-vaccinated BCG",6781,2012-10-01,"ESAT",1
"Re-vaccinated BCG",6789,2012-10-01,"ESAT",0
"Re-vaccinated BCG",6793,2012-10-01,"ESAT",0.7
"Re-vaccinated BCG",6796,2012-10-01,"ESAT",25.4
"Bio-beads/Emulsigen/Pam",1037,2012-10-01,"ESAT",1.2
"Bio-beads/Emulsigen/Pam",1038,2012-10-01,"ESAT",0
"Bio-beads/Emulsigen/Pam",1042,2012-10-01,"ESAT",18.7
"Bio-beads/Emulsigen/Pam",1043,2012-10-01,"ESAT",0
"Bio-beads/Emulsigen/Pam",1048,2012-10-01,"ESAT",2.8
"Bio-beads/Emulsigen/Pam",6744,2012-10-01,"ESAT",68.4
"Bio-beads/Emulsigen/Pam",6753,2012-10-01,"ESAT",7.2
"Bio-beads/Emulsigen/Pam",6757,2012-10-01,"ESAT",27
"Bio-beads/Emulsigen/Pam",6760,2012-10-01,"ESAT",0
"Bio-beads/Emulsigen/Pam",6764,2012-10-01,"ESAT",0
"Bio-beads/Emulsigen/Pam",6768,2012-10-01,"ESAT",28.9
"Bio-beads/Emulsigen/Pam",6773,2012-10-01,"ESAT",0
"Bio-beads/Emulsigen/Pam",6783,2012-10-01,"ESAT",0
"Bio-beads/Emulsigen/Pam",6787,2012-10-01,"ESAT",5.1
"Bio-beads/Emulsigen/Pam",6795,2012-10-01,"ESAT",0
"CFP/DDA/Pam",1027,2012-10-01,"ESAT",0
"CFP/DDA/Pam",1040,2012-10-01,"ESAT",0
"CFP/DDA/Pam",1046,2012-10-01,"ESAT",21.3
"CFP/DDA/Pam",1047,2012-10-01,"ESAT",4.4
"CFP/DDA/Pam",6731,2012-10-01,"ESAT",0
"CFP/DDA/Pam",6748,2012-10-01,"ESAT",16.2
"CFP/DDA/Pam",6754,2012-10-01,"ESAT",0
"CFP/DDA/Pam",6756,2012-10-01,"ESAT",35.1
"CFP/DDA/Pam",6761,2012-10-01,"ESAT",2.9
"CFP/DDA/Pam",6769,2012-10-01,"ESAT",0
"CFP/DDA/Pam",6770,2012-10-01,"ESAT",75.7
"CFP/DDA/Pam",6775,2012-10-01,"ESAT",0
"CFP/DDA/Pam",6786,2012-10-01,"ESAT",3.7
"CFP/DDA/Pam",6791,2012-10-01,"ESAT",0
"CFP/DDA/Pam",6794,2012-10-01,"ESAT",0
"CFP/DDA/Pam",6797,2012-10-01,"ESAT",12.9
"Non-vaccinated",1030,2012-11-01,"ESAT",13.7
"Non-vaccinated",1032,2012-11-01,"ESAT",24.3
"Non-vaccinated",1045,2012-11-01,"ESAT",21.1
"Non-vaccinated",1050,2012-11-01,"ESAT",8.2
"Non-vaccinated",6745,2012-11-01,"ESAT",75.4
"Non-vaccinated",6749,2012-11-01,"ESAT",30.5
"Non-vaccinated",6751,2012-11-01,"ESAT",42.3
"Non-vaccinated",6755,2012-11-01,"ESAT",10.1
"Non-vaccinated",6765,2012-11-01,"ESAT",15.3
"Non-vaccinated",6772,2012-11-01,"ESAT",249.9
"Non-vaccinated",6776,2012-11-01,"ESAT",12.1
"Non-vaccinated",6777,2012-11-01,"ESAT",104.8
"Non-vaccinated",6779,2012-11-01,"ESAT",9.8
"Non-vaccinated",6785,2012-11-01,"ESAT",8.4
"Non-vaccinated",6790,2012-11-01,"ESAT",81.1
"Non-vaccinated",6798,2012-11-01,"ESAT",6.4
"Non-vaccinated",6799,2012-11-01,"ESAT",18.3
"BCG once only",1029,2012-11-01,"ESAT",11.9
"BCG once only",1034,2012-11-01,"ESAT",13.1
"BCG once only",1035,2012-11-01,"ESAT",5.5
"BCG once only",1036,2012-11-01,"ESAT",6.4
"BCG once only",1039,2012-11-01,"ESAT",10.1
"BCG once only",1049,2012-11-01,"ESAT",10.6
"BCG once only",6743,2012-11-01,"ESAT",9.2
"BCG once only",6752,2012-11-01,"ESAT",10.4
"BCG once only",6758,2012-11-01,"ESAT",14
"BCG once only",6759,2012-11-01,"ESAT",13.7
"BCG once only",6767,2012-11-01,"ESAT",29.5
"BCG once only",6771,2012-11-01,"ESAT",13.8
"BCG once only",6778,2012-11-01,"ESAT",57.9
"BCG once only",6784,2012-11-01,"ESAT",6.9
"BCG once only",6788,2012-11-01,"ESAT",46.3
"BCG once only",6800,2012-11-01,"ESAT",18.7
"Re-vaccinated BCG",1026,2012-11-01,"ESAT",4.6
"Re-vaccinated BCG",1028,2012-11-01,"ESAT",9.2
"Re-vaccinated BCG",1041,2012-11-01,"ESAT",4.6
"Re-vaccinated BCG",1044,2012-11-01,"ESAT",20.8
"Re-vaccinated BCG",6746,2012-11-01,"ESAT",15.2
"Re-vaccinated BCG",6747,2012-11-01,"ESAT",19.6
"Re-vaccinated BCG",6750,2012-11-01,"ESAT",16.1
"Re-vaccinated BCG",6762,2012-11-01,"ESAT",55.7
"Re-vaccinated BCG",6766,2012-11-01,"ESAT",70.4
"Re-vaccinated BCG",6774,2012-11-01,"ESAT",62.5
"Re-vaccinated BCG",6780,2012-11-01,"ESAT",16.7
"Re-vaccinated BCG",6781,2012-11-01,"ESAT",16.6
