"Sample","Replicate","Treatment","CaspaseActivity","Hour"
"43-1","A","Control",990,1
"43-1","B","Control",878,1
"43-1","C","Control",880,1
"43-2","A","Control",908,1
"43-2","B","Control",791,1
"43-3","A","Control",974,1
"43-3","B","Control",938,1
"43-1","A","Smoke",1901,1
"43-1","B","Smoke",2112,1
"43-1","C","Smoke",1962,1
"43-2","A","Smoke",1678,1
"43-2","B","Smoke",1539,1
"43-2","C","Smoke",1736,1
"43-3","A","Smoke",1836,1
"43-3","B","Smoke",1700,1
"43-3","C","Smoke",1782,1
"43-1","A","Control",1561,2
"43-1","B","Control",1979,2
"43-2","A","Control",1009,2
"43-2","B","Control",1361,2
"43-2","C","Control",1195,2
"43-3","A","Control",487,2
"43-3","B","Control",619,2
"43-3","C","Control",550,2
"43-1","A","Smoke",2794,2
"43-1","B","Smoke",2869,2
"43-1","C","Smoke",2690,2
"43-2","A","Smoke",2155,2
"43-2","B","Smoke",1926,2
"43-2","C","Smoke",1891,2
"43-3","A","Smoke",1189,2
"43-3","B","Smoke",957,2
"43-3","C","Smoke",1196,2
"43-1","A","Control",2242,3
"43-1","B","Control",2557,3
"43-1","C","Control",3074,3
"43-2","A","Control",587,3
"43-2","B","Control",678,3
"43-2","C","Control",685,3
"43-3","A","Control",1111,3
"43-3","B","Control",844,3
"43-3","C","Control",1237,3
"43-1","A","Smoke",3354,3
"43-1","B","Smoke",3834,3
"43-1","C","Smoke",3931,3
"43-2","A","Smoke",1547,3
"43-2","B","Smoke",1753,3
"43-2","C","Smoke",1737,3
"43-3","A","Smoke",2191,3
"43-3","B","Smoke",2186,3
"43-3","C","Smoke",2180,3
"43-1","A","Control",1112,6
"43-1","B","Control",1555,6
"43-1","C","Control",763,6
"43-2","A","Control",693,6
"43-2","B","Control",944,6
"43-2","C","Control",645,6
"43-3","A","Control",609,6
"43-3","B","Control",502,6
"43-3","C","Control",623,6
"43-1","A","Smoke",2634,6
"43-1","B","Smoke",2368,6
"43-1","C","Smoke",2623,6
"43-2","A","Smoke",2205,6
"43-2","B","Smoke",2001,6
"43-2","C","Smoke",1991,6
"43-3","A","Smoke",1531,6
"43-3","B","Smoke",1559,6
"43-3","C","Smoke",1511,6
"43-1","A","Control",900,9
"43-1","B","Control",858,9
"43-1","C","Control",1647,9
"43-2","A","Control",1111,9
"43-2","B","Control",688,9
"43-2","C","Control",712,9
"43-3","A","Control",759,9
"43-3","B","Control",531,9
"43-3","C","Control",414,9
"43-1","A","Smoke",1941,9
"43-1","B","Smoke",2395,9
"43-1","C","Smoke",2251,9
"43-2","A","Smoke",1303,9
"43-2","B","Smoke",1236,9
"43-2","C","Smoke",1838,9
"43-3","A","Smoke",1459,9
"43-3","B","Smoke",1492,9
"43-3","C","Smoke",1444,9
"43-1","A","Control",1296,12
"43-1","B","Control",1208,12
"43-1","C","Control",1274,12
"43-2","A","Control",881,12
"43-2","B","Control",962,12
"43-2","C","Control",834,12
"43-3","A","Control",931,12
"43-3","B","Control",1226,12
"43-3","C","Control",1344,12
"43-1","A","Smoke",2426,12
"43-1","B","Smoke",3140,12
"43-1","C","Smoke",2367,12
"43-2","A","Smoke",1689,12
"43-2","B","Smoke",1886,12
"43-2","C","Smoke",1884,12
"43-3","A","Smoke",1759,12
"43-3","B","Smoke",1480,12
"43-3","C","Smoke",1756,12
"43-1","A","Control",4863,24
"43-1","B","Control",2762,24
"43-1","C","Control",3876,24
"43-2","A","Control",1718,24
"43-2","B","Control",1548,24
"43-2","C","Control",1496,24
"43-3","A","Control",2089,24
"43-3","B","Control",1193,24
"43-3","C","Control",1520,24
"43-1","A","Smoke",3420,24
"43-1","B","Smoke",2962,24
"43-1","C","Smoke",2495,24
"43-2","A","Smoke",2094,24
"43-2","B","Smoke",1987,24
"43-2","C","Smoke",2085,24
"43-3","A","Smoke",2208,24
"43-3","B","Smoke",1879,24
"43-3","C","Smoke",2261,24
"43-2","A","Control",1848,48
"43-2","B","Control",1768,48
"43-2","C","Control",1631,48
"43-2","A","Smoke",1518,48
"43-2","B","Smoke",1587,48
"43-2","C","Smoke",1505,48
