"Gene","ILLUMINA_PROBE_ID","EntrezId"
"HS.565863",10020,NA
"DLEC1",10025,9940
"RMRP",10026,6023
"PHF7",10037,51533
"LOC651450",10039,651450
"BCAP29",10044,55973
"ZNF768",10075,79724
"GAK",10095,2580
"LIN52",10102,91750
"LOC727751",10110,727751
"LOC440061",10128,440061
"SLC9A1",10133,6548
"PML",10136,5371
"HS.565248",10162,NA
"C6ORF54",10167,26236
"SCMH1",10181,22955
"CNPY3",10187,10695
"C19ORF24",10189,55009
"GAS2L2",10193,246176
"URG4",10201,55665
"METRNL",10224,284207
"ARHGAP24",10239,83478
"P2RX1",10240,5023
"PPIL5",10253,122769
"DUSP10",10259,11221
"LOC653337",10291,653337
"DES",10296,1674
"LOC440248",10309,440248
"PRR16",10324,51334
"HIPK2",10332,28996
"CNOT6L",10338,246175
"MRPS5",10343,64969
"SNORD36C",10356,26813
"SPN",10358,6693
"TRPC4",10367,7223
"LOC440737",10370,440737
"HS.285193",10372,NA
"LOC729510",10373,729510
"PTTG1",10414,9232
"LOC644264",10431,644264
"ITGA10",10433,8515
"BEND7",10451,222389
"EAPP",10452,55837
"PDIA6",10463,10130
"GTF2IP1",10470,2970
"NFATC3",10474,4775
"CYP2B6",10484,1555
"SLC25A25",10487,114789
"LRRC23",10523,10233
"PNCK",10543,139728
"RPS24",10546,6229
"C14ORF102",10551,55051
"EFCAB4A",10592,283229
"HS.104792",10600,NA
"BTBD3",10608,22903
"LOC339524",10615,339524
"SYNE2",10634,23224
"PCDHA9",10670,9752
"GPR173",10671,54328
"PLXNB2",10673,23654
"PC",10682,5091
"GALK2",10692,2585
"ASTN2",10703,23245
"C17ORF37",10717,84299
"CENPV",10722,201161
"TMEM59",10725,9528
"TXNDC11",10746,51061
"DOCK2",10747,1794
"ARFIP1",10753,27236
"SHANK3",10767,85358
"LARGE",10768,9215
"CARS",20010,833
"LOC650128",20017,650128
"RPS15",20021,6209
"SRF",20022,6722
"SLITRK3",20037,22865
"PSEN2",20040,5664
"LOC644743",20044,644743
"ARNTL",20064,406
"OGDH",20066,4967
"GABARAPL2",20091,11345
"CREB3L2",20110,64764
"LOC100130351",20138,100130351
"SLC6A17",20139,388662
"ARPC5",20142,10092
"RAPGEF5",20148,9771
"SDHAF2",20156,54949
"FOXP1",20162,27086
"FLJ22536",20168,401237
"ZNF385A",20170,25946
"DHX35",20192,60625
"SUV39H1",20195,6839
"FUBP1",20201,8880
"SLC7A1",20241,6541
"PRDM4",20243,11108
"TMTC3",20273,160418
"HS.454202",20278,NA
"HS.572495",20279,NA
"RNASE4",20324,6038
"NOXO1",20338,124056
"TRADD",20347,8717
"HS.340945",20348,NA
"SNORA5B",20349,677795
"DPY19L2P2",20356,349152
"MEIS2",20358,4212
"MKI67",20364,4288
"FLJ37512",20368,643792
"RNF157",20382,114804
"CISD1",20392,55847
"TOR1AIP1",20403,26092
"RNH1",20427,6050
"CHST6",20445,4166
"LOC729580",20450,729580
"GRASP",20470,160622
"TBC1D19",20475,55296
"RNF13",20487,11342
"UBE2F",20491,140739
"HS.520328",20519,NA
"MASTL",20521,84930
"LOC652265",20523,652265
"SNORD71",20543,692111
"GART",20544,2618
"CD163",20593,9332
"BIRC6",20601,57448
"SLC29A2",20609,3177
"ECAT8",20619,91646
"SPG21",20632,51324
"ANTXR1",20647,84168
"BSG",20673,682
"PDCD10",20706,11235
"COMMD5",20707,28991
"HS.560098",20711,NA
"TEAD3",20717,7005
"LOC728690",20730,728690
"LOC100134700",20735,100134700
"LOC642017",20736,642017
"LOC728558",20747,728558
"REP15",20753,387849
"LOC389457",50021,389457
"CLNK",50022,116449
"TMEM65",50037,157378
"AMD1",50050,262
"FOXP4",50053,116113
"ANKRD16",50070,54522
"LOC100128274",50075,100128274
"LOC440871",50082,440871
"TCF12",50086,6938
"METRNL",50095,284207
"DNAJC9",50114,23234
"ALS2CR16",50132,130029
"GPR128",50162,84873
"C22ORF27",50164,150291
"SBDS",50170,51119
"DARC",50192,2532
"ZNF318",50193,24149
"RAB25",50195,57111
"FAM83B",50196,222584
"LRRC8C",50201,84230
"C9ORF38",50209,29044
"NDUFA3",50240,4696
"KILLIN",50242,100144748
"SNAI2",50255,6591
"FAM70A",50270,55026
"MRFAP1L1",50274,114932
"SERPINA11",50279,256394
"EEPD1",50286,80820
"PEG3AS",50288,100169890
"HS.567480",50300,NA
"EEF1E1",50301,9521
"F11R",50307,50848
"ZNF589",50327,51385
"MDFIC",50332,29969
"SCAMP2",50341,10066
"LOC730058",50349,730058
"LOC92249",50364,92249
"LOC645708",50369,645708
"RANBP6",50370,26953
"PKP3",50373,11187
"PSMC3IP",50382,29893
"RAB6C",50386,84084
"COPB2",50397,9276
"HS.436379",50398,NA
"TMEM106B",50427,54664
"DNM1L",50435,10059
"HS.551438",50438,NA
"LOC728262",50445,728262
"TMEM179B",50450,374395
"GPAT2",50458,150763
"FAM149A",50463,25854
"NFKBIZ",50465,64332
"PM20D2",50470,135293
"LOC728241",50471,728241
"LOC100130262",50484,100130262
"BUD13",50487,84811
"MAML2",50491,84441
"MYH15",50494,22989
"MFI2",50497,4241
"NECAB3",50521,63941
"PIM3",50538,415116
"LOC388494",50541,388494
"HS.497591",50543,NA
"KIAA1797",50544,54914
"LOC100128328",50561,100128328
"DOK7",50563,285489
"PIGR",50600,5284
"CRB1",50603,23418
"HS.141748",50612,NA
"LOC728693",50615,728693
"C7ORF28B",50689,221960
"RAB43",50692,339122
"CD40LG",50706,959
"LCE1B",50725,353132
"ADCY7",50735,113
"C14ORF184",50743,650662
"SPG21",50754,51324
"LOC650227",50768,650227
"C3ORF39",60022,84892
"TMED7",60037,51014
"C15ORF21",60040,283651
"BICD1",60048,636
"GTF2IRD2P",60050,401375
"RPL11",60053,6135
"LPGAT1",60070,9926
"DNAJB1",60079,3337
"RP13-360B22.2",60086,84187
"NCALD",60093,83988
"MAPKAP1",60102,79109
"IFT80",60113,57560
"ABCC3",60114,8714
"CTSB",60121,1508
"PTDSS1",60128,9791
"DCBLD2",60132,131566
"SNX26",60167,115703
"NDN",60184,4692
"CXCL6",60192,6372
"WDR17",60193,116966
"LOC100131961",60195,100131961
"ELAC2",60202,60528
"CDCP1",60215,64866
"ANTXR1",60255,84168
"KCNJ8",60273,3764
"USP45",60274,85015
"LOC400581",60279,400581
"LRRC37B2",60292,147172
"FCF1",60307,51077
"C7ORF42",60326,55069
"IL34",60328,146433
"CHRNA3",60333,1136
"PSMD3",60360,5709
"LOC440145",60369,440145
"MPHOSPH8",60370,54737
"KCNJ4",60398,3761
"NUCB2",60427,4925
"PLOD1",60437,5351
"OTUD5",60463,55593
"LOC643226",60484,643226
"RIOK1",60500,83732
"P2RY6",60521,5031
"DENND1A",60524,57706
"NAT14",60537,57106
"ARHGAP8",60551,23779
"NDFIP1",60553,80762
"MIR1913",60564,100302141
"ZNF251",60575,90987
"DNAJB14",60594,79982
"TMEM220",60598,388335
"VIPR2",60600,7434
"EZH2",60639,2146
"PRR7",60653,80758
"LXN",60670,56925
"ZNF217",60672,7764
"MLL2",60673,8085
"LOC652102",60674,652102
"AAAS",60689,8086
"SDCCAG3",60706,10807
"KCNJ2",60719,3759
"FLJ20518",60725,647476
"CENTB2",60746,23527
"LOC728620",60753,728620
"FBXL12",60768,54850
"NCF2",70008,4688
"SFRS14",70019,10147
"LOC283332",70020,283332
"LOC729920",70022,729920
"CLUAP1",70037,23059
"JTB",70044,10899
"ZC3H11B",70047,643136
"ARHGEF10L",70048,55160
"TSLP",70053,85480
"C10ORF108",70064,414235
"LOC401620",70066,401620
"GRINA",70070,2907
"SGCD",70088,6444
"POLR2J4",70092,84820
"ALDH7A1",70102,501
"SCML2",70112,10389
"LOC402116",70131,402116
"TIGD3",70132,220359
"HS.565377",70136,NA
"PRKX",70139,5613
"TDG",70162,6996
"LOC100133823",70180,100133823
"FAM123B",70192,139285
"LOC643293",70193,643293
"ETV4",70209,2118
"AGGF1",70239,55109
"CHID1",70240,66005
"HS.445121",70241,NA
"C6ORF132",70242,647024
"C19ORF29",70243,58509
"UGT2B11",70253,10720
"OR4M1",70255,441670
"LOC441743",70286,441743
"HS.150067",70288,NA
"HIST1H1A",70292,3024
"HS.563863",70324,NA
"LOC100132549",70328,100132549
"AQP1",70338,358
"SYNPO2",70348,171024
"LOC646819",70349,646819
"ARL5A",70364,26225
