"Gene","ProbeId","EntrezId"
"LOC340598",4150128,340598
"LOC651936",4670377,651936
"ILK",5720487,3611
"SCN9A",2350168,6335
"VPS41",6580452,27072
"PABPC3",4220600,5042
"YWHAE",2140762,7531
"HS.320051",7380593,NA
"NOXO1",580270,124056
"BCCIP",5270156,56647
"LOC100131706",3140035,100131706
"WTAP",6560403,9589
"LRAP",1010296,64167
"C1ORF106",7100021,55765
"RG9MTD1",2600079,54931
"LOC100128528",5080703,100128528
"ENAH",1740161,55740
"TARSL2",5290047,123283
"HS.520349",6980500,NA
"CES1",2680056,1066
"ZNF10",5550497,7556
"GIMAP5",5360079,55340
"HS.572246",2120095,NA
"GCNT1",870600,2650
"OR2A25",60626,392138
"FAM84B",60014,157638
"RFESD",540703,317671
"HS.184721",6560072,NA
"LOC642361",1690592,642361
"PHF11",6520110,51131
"ATP1A1",4210095,476
"LOC643037",5390717,643037
"LOC643998",5910168,643998
"FBXO41",4640674,150726
"LOC649999",4810681,649999
"STX8",3130379,9482
"SLC35D2",4060576,11046
"AKAP12",6940475,9590
"LOC652466",1940066,652466
"NTRK1",730296,4914
"VLDLR",7000291,7436
"LOC100130764",4670593,100130764
"PSCD2",990747,9266
"HS.539160",1230221,NA
"LOC649957",940408,649957
"ABCA5",3780445,23461
"USP16",6330092,10600
"MICAL2",1430463,9645
"NAT12",2230059,122830
"RFX2",270136,5990
"LOC339524",10615,339524
"LOC649800",3890471,649800
"VDAC1",4590372,7416
"LOC100132716",3940110,100132716
"GNL2",520196,29889
"GEMIN8",4850682,54960
"OR1L8",650138,138881
"LOC92659",2810504,92659
"LOC100134711",4150685,100134711
"ABCC6",3060279,368
"ITPA",360445,3704
"NUSAP1",1500553,51203
"LRRC37B",2940091,114659
"C11ORF49",7160673,79096
"FDFT1",5700142,2222
"DSC2",2710400,1824
"LGR6",3610154,59352
"NAE1",6510619,8883
"AEN",5090438,64782
"RNPEP",5570601,6051
"LOC646785",6480402,646785
"SGK2",780132,10110
"C12ORF52",4900753,84934
"LRRC3",1010600,81543
"PRPF6",7160671,24148
"FLJ22536",20168,401237
"UPLP",430189,100134938
"LOC100133510",4890452,100133510
"TAC1",6860594,6863
"HS.398035",3940114,NA
"HS.511717",6450279,NA
"HS.178244",2750093,NA
"KRT12",870433,3859
"UPF3B",780743,65109
"PPFIA1",7610162,8500
"SNORD88B",1500598,692203
"DIDO1",2640402,11083
"MRPL16",5310537,54948
"KLK11",5900008,11012
"LOC645691",6110673,645691
"ASCC3",650722,10973
"SLC39A13",1190706,91252
"LOC642833",7150523,642833
"LOC100134280",4200647,100134280
"LOC100129237",1690075,100129237
"HEXDC",3840370,284004
"BRF1",5670382,2972
"EXOSC9",6220142,5393
"HS.566428",6590133,NA
"DGCR2",5670167,9993
"RBM45",4200035,129831
"SESN2",6650630,83667
"LOC727828",520537,727828
"CD96",2710754,10225
"LOC729123",2630431,729123
"OR2A9P",3610681,441295
"ARL5A",2630209,26225
"CYP4F12",6560239,66002
"PKIA",510435,5569
"CARD18",4280288,59082
"SUPT3H",4540543,8464
"LOC161527",2070097,161527
"FAM156B",240326,727866
"LAT",3610288,27040
"CHKA",6330170,1119
"TMEM187",6660307,8269
"CROT",3830274,54677
"HS.148448",1430133,NA
"ZNF594",620292,84622
"HS.48729",6560189,NA
"FBXW10",6280438,10517
"TRIM33",990356,51592
"LOC85389",3610753,85389
"HS.129547",1570142,NA
"RAD51C",5910215,5889
"EIF3IP1",6290026,442720
"RPL3",1710369,6122
"BNIP1",6420376,662
"PHF8",7100079,23133
"MGAT4A",6220593,11320
"SULT1A1",1050612,6817
"ZNF688",6420672,146542
"LOC654128",5050075,654128
"HS.98737",3140315,NA
"LOC648974",630192,648974
"TMEM84",1500215,283673
"LOC651123",4220762,651123
"LOC653105",3610471,653105
"MARK1",5080112,4139
"NSUN5",450445,55695
"AGER",7200369,177
"ATP5D",1110377,513
"SNX16",940324,64089
"ZNF254",2750762,9534
"KREMEN2",1580379,79412
"PLCD4",6940608,84812
"PCNX",7050626,22990
"C16ORF53",4230066,79447
"SAMD1",1440438,90378
"TMUB2",3710653,79089
"ZNF167",2480564,55888
"CPM",1980719,1368
"LOC652113",5050180,652113
"LOC646821",610142,646821
"P4HTM",2760301,54681
"TMEM2",3360112,23670
"LOC100134816",6130468,100134816
"SF1",3610743,7536
"CYB561",2480465,1534
"ALKBH8",6420044,91801
"MYCBP",4040296,26292
"SMN2",4040070,6607
"DUSP26",5890091,78986
"LOC652287",3840484,652287
"AIM1",580255,202
"HSD17B6",4040441,8630
"CASC4",60241,113201
"MYOZ3",6550189,91977
"C1ORF120",2060647,388719
"LOC389634",6330193,389634
"C9ORF100",6840039,84904
"LOC727967",3930068,727967
"IQCG",70551,84223
"ZNF681",3170196,148213
"LOC100134742",6560202,100134742
"ZNF813",5310315,126017
"NR3C2",7050008,4306
"TTC27",3290044,55622
"HS.560984",3450181,NA
"LOC100130592",1740102,100130592
"LOC100132894",3060348,100132894
"ZNF706",7610189,51123
"RSL1D1",5490008,26156
"MARLIN1",6650110,152789
"LEFTY2",6450291,7044
"HHLA2",4150187,11148
"TP53I11",240608,9537
"LOC645914",730279,645914
"TPST2",5690347,8459
"OXCT1",1090768,5019
"SDK1",6550619,221935
"TTN",6280408,7273
"PLDN",1510719,26258
"LOC728965",510333,728965
"COQ6",6620315,51004
"SLC30A5",7050112,64924
"LOC25845",1260064,25845
"CD3D",1580411,915
"LOC729535",3610379,729535
"LOC653147",6250386,653147
"HS.572425",990753,NA
"MUC12",2470156,10071
"DSCC1",3890372,79075
"PTPN20B",2900653,26095
"TNS3",5560561,64759
"FKBP1A",5050427,2280
"PRKDC",3390152,5591
"LDHD",2340021,197257
"LOC286076",630528,286076
"TRA1P2",4590551,343477
"PSME3",1450064,10197
"SF3B14",3780544,51639
"TIMP3",2030577,7078
"PPP1R16A",3140408,84988
"LOC652404",2510047,652404
"WDR57",1690348,9410
"LOC441073",1240035,441073
"C16ORF30",160070,79652
"LOC389156",2680612,389156
"FAM86A",2350086,196483
"LOC646372",5810138,646372
"LOC729862",5720022,729862
"DEGS1",5220632,8560
"HS.583307",2750372,NA
"LOC100132565",6370280,100132565
"HS.581788",2070128,NA
"IL1RAP",3800427,3556
"RABL4",2320707,11020
"LOC201725",4730397,201725
"WBP5",1660750,51186
"PHACTR3",4060259,116154
"RARRES2",5290608,5919
"MED22",4860689,6837
"HS.282470",6770458,NA
"RNF170",4050196,81790
"CCDC9",4390255,26093
"C19ORF24",10189,55009
"TBC1D3B",70367,414059
"LOC389523",2360114,389523
"C1ORF201",4540537,90529
"TRY6",5810010,154754
"HOXA10",510097,3206
"C14ORF121",5910762,90668
"LOC442049",6130307,442049
"HS.574008",1260224,NA
"CCDC77",3850291,84318
"WRN",5720433,7486
"RPS6KA1",2000576,6195
"NR2C1",1470521,7181
"HEXB",3800139,3074
"GGT2",5720524,728441
"FBXW7",3930184,55294
"GOPC",1410170,57120
"NFATC2IP",6380136,84901
"RPAIN",770164,84268
"C14ORF184",50743,650662
"CPNE7",4810437,27132
"GOLGA8G",2810440,283768
"FXR1",4180577,8087
"HS.561526",4670725,NA
"LOC653080",6980600,653080
"HIST1H4E",2230619,8367
"C20ORF12",6330376,55184
"HAVCR2",5220093,84868
"CRHBP",2690414,1393
"C4ORF34",2230376,201895
"CCDC25",5130202,55246
"HAX1",5310110,10456
"TFAMP1",620541,260341
"ZDHHC20",1780050,253832
"REG1P",2260440,5969
"ATP5J2",6590593,9551
"SLC24A1",4180689,9187
"HOOK2",1710520,29911
"WWC1",1090575,23286
"MED23",6330491,9439
